Description,Category,Sub-Category,Title,Link,IconURL,Icon,FilePath
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Standard and Poors,https://www.standardandpoors.com/en_AU/web/guest/home,https://upload.wikimedia.org/wikipedia/en/7/75/S%26P_Global_Ratings_logo.png,,resources/finance/finance-reading/standard-and-poors.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,The Corporate Treasurer,https://www.thecorporatetreasurer.com/,https://www.thecorporatetreasurer.com/Content/img/logo_l_blue.png,,resources/finance/finance-reading/the-corporate-treasurer.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,The Treasurers Handbook,https://wiki.treasurers.org/wiki/The_Treasurers_Handbook -,,fas fa-book,resources/finance/finance-reading/the-treasurers-handbook.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,US Federal Reserve,https://www.federalreserve.gov/,https://upload.wikimedia.org/wikipedia/commons/1/1a/Seal_of_the_United_States_Federal_Reserve_System.svg,,resources/finance/finance-reading/us-federal-reserve.md
Free access to 1000s of MIT courses,Personal Development,,MIT Open Courseware,https://ocw.mit.edu/help/get-started-with-ocw/,https://ocw.mit.edu/images/logo_mit.png,,resources/personal-development/mit-opencourseware.md
Free access to 1000s of courses from the worlds best institutions,Personal Development,,Class Central,https://www.classcentral.com/collection/ivy-league-moocs,https://www.classcentral.com/bundles/classcentralsite/slashpixel/images/cc.logo.png,,resources/personal-development/class-central.md
Explore Thousands of Inspiring Classes For Creative and Curious People,Creative,,Skillshare,https://www.skillshare.com/,https://static.skillshare.com/assets/images/favicons/favicon-512.png,,resources/creative/skillshare.md
Explore the very basics of Linux,Cloud,,Linux,https://linuxacademy.com/,,fab fa-linux,resources/cloud/linux.md
Explore multiple courses related to learning coding,Coding Fundamentals,,Pluralsight,https://www.pluralsight.com/,https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-180x180.png,,resources/coding-fundamentals/pluralsight.md
Discover the World Economic Forum's view on the future of work,Future of Work and Learning,,World Economic Forum,http://reports.weforum.org/future-of-jobs-2018/,https://upload.wikimedia.org/wikipedia/commons/b/b6/World_Economic_Forum_logo.svg,,resources/future-of-work-and-learning/World-Economic-Forum.md
Discover the World Economic Forum's view on the future of work,Future of Work and Learning,,World Economic Forum Jobs of Tomorrow,http://www3.weforum.org/docs/WEF_Jobs_of_Tomorrow_2020.pdf,https://upload.wikimedia.org/wikipedia/commons/b/b6/World_Economic_Forum_logo.svg,,resources/future-of-work-and-learning/World-Economic-Forum-Jobs-of-Tomorrow.md
